systemNumber,accessionNumber,objectType,_currentLocation,_primaryTitle,_primaryMaker,_primaryImageId,_primaryDate,_primaryPlace,_warningTypes,_images
O1058071,PH.2626-1905,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'N'}}","Fireback, Hotel Lepelletier, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9265,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9265/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9265/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058071/manifest.json', 'imageResolution': 'high'}"
O1058070,PH.2627-1905,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'N'}}","Balcony, The Louvre, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9240,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9240/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9240/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058070/manifest.json', 'imageResolution': 'high'}"
O1058069,PH.2628-1905,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'N'}}","Balcony, The Louvre, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9262,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9262/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9262/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058069/manifest.json', 'imageResolution': 'high'}"
O1058068,PH.2629-1905,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'L'}}","Staircase, Hotel Fleury, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9279,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9279/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9279/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058068/manifest.json', 'imageResolution': 'high'}"
O1058067,PH.2630-1905,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'L'}}","Staircase, Hotel Henry, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9290,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9290/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9290/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058067/manifest.json', 'imageResolution': 'high'}"
O1058066,PH.218-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'Q'}}","Palais du Senat, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9193,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9193/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9193/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058066/manifest.json', 'imageResolution': 'high'}"
O1058065,PH.219-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'Q'}}","Oratorie Marie de Medicis, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9198,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9198/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9198/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058065/manifest.json', 'imageResolution': 'high'}"
O1058064,PH.227-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'P'}}","Hotel Carnavalet, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9222,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9222/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9222/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058064/manifest.json', 'imageResolution': 'high'}"
O1058063,PH.228-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'P'}}","Hotel Carnavalet, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9220,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9220/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9220/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058063/manifest.json', 'imageResolution': 'high'}"
O1058062,PH.229-1903,Photograph,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'X', 'shelf': '292', 'box': 'P'}}","Hotel Carnavalet, Paris, France","{'name': 'Atget, Jean-Eugène-Auguste', 'association': 'photographer'}",2008BV9238,c. 1900,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2008BV9238/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2008BV9238/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1058062/manifest.json', 'imageResolution': 'high'}"
